Acronym,Name,City,Country,"Submission deadline","Start date","End date",Conference,Workshop
"AAAI 2018","Artificial Intelligence","New Orleans",Category:USA,"11 September 2017","2 February 2018","7 February 2018",true,false
"ISEC 2018","ISEC  2018 : 11th Innovations in Software Engineering Conference",Hyderabad,Category:India,"10 September 2017 12:00:00","9 February 2018 12:00:00","11 February 2018 12:00:00",true,false
"ICEMI 2018","ICEMI  2018 : 2018 7th International Conference on Education and Management Innovation (ICEMI 2018)",Torino,Category:Italy,"10 October 2017 12:00:00","11 February 2018 12:00:00","13 February 2018 12:00:00",true,false
"CALDAM 2018","CALDAM  2018 : 4th Annual Conference on  Algorithms and Discrete Applied Mathematics",Guwahati,Category:India,"28 September 2017 12:00:00","15 February 2018 12:00:00","17 February 2018 12:00:00",true,false
"ICRIS 2018","ACM--ICRIS--Ei  2018 : 2018 International Conference on Robotics and Intelligent System (ICRIS 2018)--ACM, Ei Compendex, Scopus",Amsterdam,Category:Netherland,"20 October 2017 12:00:00","21 February 2018 12:00:00","23 February 2018 12:00:00",true,false
"ICMSCE 2018","ACM--ICMSCE--Ei  2018 : 2018 2nd International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2018)--ACM, Ei Compendex, Scopus",Amsterdam,Category:Netherland,"20 October 2017 12:00:00","21 February 2018 12:00:00","23 February 2018 12:00:00",true,false
"AMLTA 2018","AMLTA  2018 : the 3rd  International Conference on Advanced Machine Learning Technologies and Applications;",Cairo,Category:Egypt,"10 September 2017 12:00:00","22 February 2018 12:00:00","24 February 2018 12:00:00",true,false
"ICNCT 2018","ICNCT  2018 : 2018 the 6th International Conference on Network and Computing Technologies (ICNCT 2018)",Singapore,Category:Singapore,"15 October 2017","24 February 2018","26 February 2018",true,false
"ICIGP 2018","ICIGP-Ei  2018 : 2018 International Conference on Image and Graphics Processing (ICIGP 2018)--Ei Compendex and Scopus","Hong Kong","Category:Hong Kong","10 October 2017","24 February 2018","26 February 2018",true,false
"ICVR 2018","ICVR-Ei  2018 : 2018 4th International Conference on Virtual Reality (ICVR 2018)--Ei Compendex and Scopus","Hong Kong","Category:Hong Kong","5 October 2017","24 February 2018","26 February 2018",true,false
"ICMCR 2018","ICMCR - Ei  2018 : 2018 International Conference on Mechatronics, Control and Robotics (ICMCR 2018)--EI Compendex, Scopus","Ho Chi Minh",Category:Vietnam,"30 September 2017 12:00:00","25 February 2018 12:00:00","27 February 2018 12:00:00",true,false
"ICBCT 2018","Ei - ICBCT  2018 : 2018 2nd International Conference on Bioinformatics and Computing Technologies (ICBCT 2018)--Ei Compendex",Hanoi,Category:Vietnam,"10 October 2017 12:00:00","26 February 2018 12:00:00","28 February 2018 12:00:00",true,false
"ICMLC 2018","ICMLC - Ei  2018 : 2018 10th International Conference on Machine Learning and Computing (ICMLC 2018)--ACM, Ei Compendex and Scopus",Macau,Category:China,"5 October 2017 12:00:00","26 February 2018 12:00:00","28 February 2018 12:00:00",true,false
"ICIIT 2018","ICIIT - Ei & Scopus  2018 : 2018 International Conference on Intelligent Information Technology (ICIIT 2018)--Ei Compendex, Scopus and ISI",Hanoi,Category:Vietnam,"10 October 2017 12:00:00","26 February 2018 12:00:00","28 February 2018 12:00:00",true,false
